"stateID","state","indicator","type","estimate","lcl","ucl"
3,"Khartoum","WASH: Unprotected well within 30 minutes","Proportion",0,0,0
3,"Khartoum","WASH: Trucked from unprotected sources within 30 minutes","Proportion",0,0,0
4,"Al-Gazeera","WASH: Uses improved drinking water sources","Proportion",87.38,78.03,96.72
4,"Al-Gazeera","WASH: Public pipe network in house","Proportion",77.37,61.19,93.54
4,"Al-Gazeera","WASH: Public pipe network in yard","Proportion",0.65,0.01,3.58
4,"Al-Gazeera","WASH: Public water pipe","Proportion",0.7,0.01,1.85
4,"Al-Gazeera","WASH: Protected ground water","Proportion",5.64,0.01,14.95
4,"Al-Gazeera","WASH: Protected well","Proportion",2.19,0.01,6.19
4,"Al-Gazeera","WASH: Filtered surface water","Proportion",2.3,0.01,8.03
4,"Al-Gazeera","WASH: Trucked from improved sources","Proportion",0.83,0.01,3.62
4,"Al-Gazeera","WASH: Bottled water","Proportion",0,0,0
4,"Al-Gazeera","WASH: Unfiltered surface water","Proportion",4.55,0.01,12.25
4,"Al-Gazeera","WASH: Unprotected well","Proportion",0,0,0
4,"Al-Gazeera","WASH: Trucked from unprotected sources","Proportion",0,0,0
4,"Al-Gazeera","WASH: Uses basic drinking water sources (within 30 minutes)","Proportion",85.24,74.24,96.24
4,"Al-Gazeera","WASH: Public pipe network in house within 30 minutes","Proportion",77.24,61.02,93.46
4,"Al-Gazeera","WASH: Public pipe network in yard within 30 minutes","Proportion",0.6,0.01,3.2
4,"Al-Gazeera","WASH: Public water pipe within 30 minutes","Proportion",0.7,0.01,1.84
4,"Al-Gazeera","WASH: Protected ground water within 30 minutes","Proportion",5.44,0.01,14.62
4,"Al-Gazeera","WASH: Protected well within 30 minutes","Proportion",1.19,0.01,3.84
4,"Al-Gazeera","WASH: Filtered surface water within 30 minutes","Proportion",2.21,0.01,7.8
4,"Al-Gazeera","WASH: Trucked from improved sources within 30 minutes","Proportion",0.07,0.01,0.35
4,"Al-Gazeera","WASH: Bottled water within 30 minutes","Proportion",0,0,0
